Complaint,Day,Time,Borough
382571307,5-Feb-16,21:35:00,QUEENS
420004677,5-Feb-16,19:15:00,BRONX
788274596,20-Jan-16,16:35:00,BROOKLYN
961685170,27-Jan-16,23:40:00,MANHATTAN
899198320,27-Jan-16,10:50:00,QUEENS
565139884,24-Jan-16,16:07:00,BRONX
618413235,23-Jan-16,19:54:00,BROOKLYN
683362824,22-Jan-16,9:07:00,BROOKLYN
348079021,21-Jan-16,20:30:00,BRONX
133652731,10-Jan-16,22:06:00,BROOKLYN
660160945,17-Jan-16,21:17:00,BROOKLYN
528936373,16-Jan-16,15:15:00,BROOKLYN
219244042,16-Jan-16,0:40:00,STATEN ISLAND
428699622,14-Jan-16,14:36:00,STATEN ISLAND
722610585,13-Jan-16,14:48:00,BROOKLYN
411729005,11-Jan-16,13:29:00,BROOKLYN
500455531,11-Jan-16,9:08:00,BROOKLYN
323720655,11-Jan-16,7:40:00,QUEENS
861521596,10-Jan-16,3:32:00,BROOKLYN
607496668,9-Jan-16,23:22:00,BROOKLYN
106566639,6-Jan-16,8:21:00,BROOKLYN
415000339,4-Jan-16,11:00:00,BRONX
541274810,4-Jan-16,4:25:00,BRONX
213901491,1-Jan-16,22:55:00,QUEENS
724394992,22-Nov-16,18:25:00,QUEENS
159308287,20-Nov-16,12:30:00,BRONX
905143522,13-Nov-16,5:30:00,MANHATTAN
821535906,11-Nov-16,9:28:00,BROOKLYN
119353874,7-Nov-16,13:20:00,MANHATTAN
963180019,4-Nov-16,14:45:00,BRONX
265783757,3-Nov-16,21:14:00,BRONX
750999334,2-Nov-16,13:25:00,BRONX
877544001,1-Nov-16,22:40:00,BRONX
808540738,1-Nov-16,20:49:00,BROOKLYN
331189776,30-Oct-16,23:40:00,BRONX
715822260,30-Oct-16,2:13:00,QUEENS
571459476,29-Oct-16,4:15:00,QUEENS
225854780,27-Sep-16,19:27:00,BRONX
176390104,5-Sep-16,21:50:00,MANHATTAN
656508424,23-Oct-16,1:50:00,BRONX
258935572,17-Oct-16,16:32:00,MANHATTAN
271893366,15-Oct-16,23:30:00,BRONX
627081649,13-Oct-16,0:47:00,QUEENS
170841822,1-Oct-16,19:25:00,BRONX
400066824,9-Oct-16,21:14:00,BRONX
268458530,8-Oct-16,16:34:00,BRONX
